Reporting Starts,Reporting Ends,Campaign Name,Ad Set Name,Ad Name,Amount Spent (USD),Impressions,Link Clicks,CPM,CTR,Purchases,Purchases Conversion Value
2025-04-15,2025-04-15,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,13.99,1100,10,12.72,0.91,0,0.0
2025-04-15,2025-04-15,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,13.32,653,9,20.4,1.49,0,0.0
2025-04-15,2025-04-15,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,6.65,335,4,19.85,1.46,0,0.0
2025-04-15,2025-04-15,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,4.23,193,1,21.93,0.93,0,0.0
2025-04-15,2025-04-15,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,7.56,433,3,17.45,0.86,0,0.0
2025-04-16,2025-04-16,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,10.68,875,8,12.21,0.98,0,0.0
2025-04-16,2025-04-16,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,10.19,637,5,16.0,0.93,0,0.0
2025-04-16,2025-04-16,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,12.86,687,8,18.72,1.2,0,0.0
2025-04-17,2025-04-17,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,8.95,490,5,18.26,1.12,0,0.0
2025-04-17,2025-04-17,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,6.89,333,4,20.7,1.5,0,0.0
2025-04-17,2025-04-17,Basic Socks 3-Pack - BOF - Retargeting,Website Visitors - Basic Socks 3-Pack,DPA - Basic Socks 3-P,5.66,415,15,13.63,3.65,1,11.99
2025-04-17,2025-04-17,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,13.2,933,13,14.15,1.4,1,8.0
2025-04-17,2025-04-17,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,7.87,551,4,14.28,0.9,0,0.0
2025-04-17,2025-04-17,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,5.76,356,4,16.19,1.24,0,0.0
2025-04-17,2025-04-17,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,13.7,737,9,18.59,1.24,0,0.0
2025-04-17,2025-04-17,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,9.87,474,5,20.83,1.18,0,0.0
2025-04-17,2025-04-17,Premium Leather Bag - BOF - Retargeting,Website Visitors - Premium Leather Bag,DPA - Premium Leather,7.96,742,17,10.73,2.41,1,71.99
2025-04-17,2025-04-17,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,18.59,768,7,24.2,0.92,1,48.0
2025-04-17,2025-04-17,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,6.36,355,4,17.91,1.31,0,0.0
2025-04-17,2025-04-17,Sample Sale Coat - BOF - Retargeting,Website Visitors - Sample Sale Coat,DPA - Sample Sale Coa,28.64,2175,58,13.17,2.68,1,29.99
2025-04-17,2025-04-17,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,66.84,3974,49,16.82,1.25,1,20.0
2025-04-18,2025-04-18,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,12.88,807,9,15.96,1.19,0,0.0
2025-04-18,2025-04-18,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,8.35,606,7,13.78,1.32,0,0.0
2025-04-18,2025-04-18,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,12.82,723,10,17.73,1.4,0,0.0
2025-04-18,2025-04-18,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,15.42,1295,28,11.91,2.2,1,143.99
2025-04-18,2025-04-18,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,36.01,2851,36,12.63,1.27,1,95.99
2025-04-18,2025-04-18,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,25.02,1540,15,16.25,1.03,0,0.0
2025-04-18,2025-04-18,Designer Sunglasses - TOF - Interests,Broad Interests - Designer Sunglasses,Creative A - Designer Sungla,5.86,293,3,20.0,1.28,0,0.0
2025-04-18,2025-04-18,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,5.55,399,4,13.9,1.01,0,0.0
2025-04-18,2025-04-18,Last Season Dress - BOF - Retargeting,Website Visitors - Last Season Dress,DPA - Last Season Dre,11.98,1122,32,10.68,2.87,1,14.99
2025-04-18,2025-04-18,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,27.95,1459,12,19.16,0.88,1,10.0
2025-04-18,2025-04-18,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,4.26,196,2,21.73,1.39,0,0.0
2025-04-18,2025-04-18,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,10.87,587,6,18.52,1.18,0,0.0
2025-04-18,2025-04-18,Sample Sale Coat - BOF - Retargeting,Website Visitors - Sample Sale Coat,DPA - Sample Sale Coa,37.63,2608,98,14.43,3.79,1,59.99
2025-04-18,2025-04-18,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,87.78,4532,36,19.37,0.81,1,39.99
2025-04-18,2025-04-18,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,12.86,951,12,13.52,1.32,0,0.0
2025-04-19,2025-04-19,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,15.28,678,5,22.53,0.84,0,0.0
2025-04-19,2025-04-19,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,23.71,1267,12,18.71,0.95,0,0.0
2025-04-19,2025-04-19,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,28.01,2037,24,13.75,1.2,0,0.0
2025-04-19,2025-04-19,Premium Backpack - BOF - Retargeting,Website Visitors - Premium Backpack,DPA - Premium Backpac,13.2,1065,23,12.39,2.23,1,107.99
2025-04-19,2025-04-19,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,30.78,2094,23,14.7,1.14,1,71.99
2025-04-19,2025-04-19,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,8.71,675,7,12.9,1.18,0,0.0
2025-04-20,2025-04-20,Basic Phone Case - BOF - Retargeting,Website Visitors - Basic Phone Case,DPA - Basic Phone Cas,7.17,753,24,9.52,3.31,1,15.59
2025-04-20,2025-04-20,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,16.73,678,5,24.68,0.84,1,10.39
2025-04-20,2025-04-20,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,25.68,1173,10,21.89,0.88,0,0.0
2025-04-20,2025-04-20,Luxury Belt - BOF - Retargeting,Website Visitors - Luxury Belt,DPA - Luxury Belt,5.06,395,14,12.81,3.67,1,47.99
2025-04-20,2025-04-20,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,11.81,624,9,18.93,1.45,1,32.0
2025-04-20,2025-04-20,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,10.25,817,7,12.54,0.86,0,0.0
2025-04-20,2025-04-20,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,9.42,724,7,13.01,1.05,0,0.0
2025-04-20,2025-04-20,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,26.33,1122,11,23.47,1.0,0,0.0
2025-04-20,2025-04-20,Simple Keychain - BOF - Retargeting,Website Visitors - Simple Keychain,DPA - Simple Keychain,2.79,208,6,13.4,3.12,1,5.99
2025-04-20,2025-04-20,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,6.51,386,5,16.87,1.36,1,4.0
2025-04-20,2025-04-20,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,12.62,669,8,18.86,1.25,0,0.0
2025-04-21,2025-04-21,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,14.17,1149,15,12.33,1.32,0,0.0
2025-04-21,2025-04-21,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,17.31,1674,56,10.34,3.39,1,143.99
2025-04-21,2025-04-21,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,40.38,3000,41,13.46,1.38,1,95.99
2025-04-21,2025-04-21,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,22.47,1342,19,16.74,1.49,0,0.0
2025-04-21,2025-04-21,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,8.69,688,9,12.63,1.34,0,0.0
2025-04-21,2025-04-21,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,10.54,712,8,14.8,1.22,0,0.0
2025-04-21,2025-04-21,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,13.82,771,8,17.92,1.08,0,0.0
2025-04-21,2025-04-21,Standard Lanyard - BOF - Retargeting,Website Visitors - Standard Lanyard,DPA - Standard Lanyar,4.19,418,10,10.03,2.45,1,9.59
2025-04-21,2025-04-21,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,9.77,534,7,18.3,1.32,1,6.39
2025-04-22,2025-04-22,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,7.13,540,7,13.21,1.31,0,0.0
2025-04-22,2025-04-22,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,12.38,594,5,20.85,0.89,0,0.0
2025-04-22,2025-04-22,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,27.49,1119,11,24.57,1.05,0,0.0
2025-04-22,2025-04-22,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,25.2,1981,17,12.72,0.9,0,0.0
2025-04-22,2025-04-22,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,8.1,437,5,18.54,1.34,0,0.0
2025-04-22,2025-04-22,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,6.55,356,3,18.41,0.99,0,0.0
2025-04-22,2025-04-22,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,8.62,460,3,18.73,0.81,0,0.0
2025-04-23,2025-04-23,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,14.54,990,24,14.69,2.46,1,143.99
2025-04-23,2025-04-23,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,33.95,1443,13,23.53,0.9,1,95.99
2025-04-23,2025-04-23,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,28.7,1779,21,16.13,1.23,0,0.0
2025-04-23,2025-04-23,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,9.02,414,4,21.79,0.98,0,0.0
2025-04-23,2025-04-23,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,9.92,677,7,14.65,1.16,0,0.0
2025-04-23,2025-04-23,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,4.77,216,2,22.09,1.3,0,0.0
2025-04-23,2025-04-23,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,9.86,728,8,13.54,1.15,0,0.0
2025-04-24,2025-04-24,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,7.65,306,3,24.99,1.14,0,0.0
2025-04-24,2025-04-24,Basic Socks 3-Pack - BOF - Retargeting,Website Visitors - Basic Socks 3-Pack,DPA - Basic Socks 3-P,10.47,875,27,11.97,3.11,1,23.99
2025-04-24,2025-04-24,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,24.45,1314,16,18.61,1.26,1,15.99
2025-04-24,2025-04-24,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,9.43,472,6,19.98,1.43,0,0.0
2025-04-24,2025-04-24,Sample Sale Coat - BOF - Retargeting,Website Visitors - Sample Sale Coat,DPA - Sample Sale Coa,53.48,6307,225,8.48,3.57,1,59.99
2025-04-24,2025-04-24,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,124.71,8826,116,14.13,1.32,1,39.99
2025-04-25,2025-04-25,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,12.62,844,11,14.95,1.42,0,0.0
2025-04-25,2025-04-25,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,12.18,552,4,22.06,0.87,0,0.0
2025-04-25,2025-04-25,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,8.49,883,31,9.61,3.62,1,71.99
2025-04-25,2025-04-25,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,19.79,992,11,19.95,1.13,1,48.0
2025-04-25,2025-04-25,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,12.59,628,6,20.04,1.05,0,0.0
2025-04-25,2025-04-25,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,5.28,344,3,15.36,0.88,0,0.0
2025-04-25,2025-04-25,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,13.87,987,8,14.05,0.88,0,0.0
2025-04-25,2025-04-25,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,19.65,1029,9,19.1,0.91,0,0.0
2025-04-25,2025-04-25,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,9.37,451,4,20.77,0.9,0,0.0
2025-04-25,2025-04-25,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,12.01,647,7,18.57,1.13,0,0.0
2025-04-25,2025-04-25,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,9.0,444,5,20.26,1.33,0,0.0
2025-04-25,2025-04-25,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,10.83,608,4,17.82,0.82,0,0.0
2025-04-25,2025-04-25,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,8.73,443,4,19.7,1.02,0,0.0
2025-04-26,2025-04-26,Canvas Tote Bag - BOF - Retargeting,Website Visitors - Canvas Tote Bag,DPA - Canvas Tote Bag,10.96,1305,38,8.4,2.94,1,47.99
2025-04-26,2025-04-26,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,25.56,1053,10,24.27,0.98,1,31.99
2025-04-26,2025-04-26,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,11.58,559,6,20.72,1.19,0,0.0
2025-04-26,2025-04-26,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,15.09,745,7,20.26,1.03,0,0.0
2025-04-26,2025-04-26,Handcrafted Wallet - BOF - Retargeting,Website Visitors - Handcrafted Wallet,DPA - Handcrafted Wal,5.12,624,15,8.2,2.42,1,47.99
2025-04-26,2025-04-26,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,11.94,855,9,13.97,1.11,1,32.0
2025-04-26,2025-04-26,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,7.66,446,5,17.17,1.33,0,0.0
2025-04-27,2025-04-27,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,13.84,738,5,18.76,0.81,0,0.0
2025-04-27,2025-04-27,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,5.98,359,3,16.65,1.0,0,0.0
2025-04-27,2025-04-27,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,3.13,132,1,23.69,0.99,0,0.0
2025-04-27,2025-04-27,Overstock Pants - BOF - Retargeting,Website Visitors - Overstock Pants,DPA - Overstock Pants,18.17,1700,34,10.69,2.03,1,23.99
2025-04-27,2025-04-27,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,42.37,2154,22,19.67,1.07,1,15.99
2025-04-27,2025-04-27,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,5.62,310,2,18.12,0.94,0,0.0
2025-04-28,2025-04-28,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,17.49,778,7,22.48,1.0,0,0.0
2025-04-28,2025-04-28,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,4.41,195,2,22.61,1.08,0,0.0
2025-04-28,2025-04-28,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,9.72,523,6,18.58,1.26,0,0.0
2025-04-28,2025-04-28,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,6.08,276,2,22.03,0.94,0,0.0
2025-04-28,2025-04-28,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,8.71,407,3,21.41,0.97,0,0.0
2025-04-29,2025-04-29,Canvas Tote Bag - BOF - Retargeting,Website Visitors - Canvas Tote Bag,DPA - Canvas Tote Bag,8.08,987,29,8.19,3.03,1,47.99
2025-04-29,2025-04-29,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,18.85,759,8,24.84,1.06,1,31.99
2025-04-29,2025-04-29,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,11.92,767,8,15.54,1.13,0,0.0
2025-04-29,2025-04-29,Cotton Hoodie - BOF - Retargeting,Website Visitors - Cotton Hoodie,DPA - Cotton Hoodie,11.65,784,23,14.86,3.01,1,53.99
2025-04-29,2025-04-29,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,27.18,1853,22,14.67,1.23,1,35.99
2025-04-29,2025-04-29,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,9.41,399,4,23.59,1.04,0,0.0
2025-04-29,2025-04-29,Sample Sale Coat - BOF - Retargeting,Website Visitors - Sample Sale Coat,DPA - Sample Sale Coa,48.47,4674,166,10.37,3.56,1,59.99
2025-04-29,2025-04-29,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,113.06,5438,76,20.79,1.41,1,39.99
2025-04-29,2025-04-29,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,22.72,934,9,24.33,0.98,0,0.0
2025-04-29,2025-04-29,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,10.56,575,8,18.36,1.43,0,0.0
2025-04-30,2025-04-30,Artisan Watch - TOF - Interests,Broad Interests - Artisan Watch,Creative A - Artisan Watch,6.36,303,2,20.98,0.91,0,0.0
2025-04-30,2025-04-30,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,8.08,405,5,19.95,1.42,0,0.0
2025-04-30,2025-04-30,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,18.94,1472,15,12.87,1.08,0,0.0
2025-04-30,2025-04-30,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,16.9,1043,12,16.2,1.18,0,0.0
2025-04-30,2025-04-30,Simple Keychain - BOF - Retargeting,Website Visitors - Simple Keychain,DPA - Simple Keychain,5.75,557,19,10.33,3.45,1,11.99
2025-04-30,2025-04-30,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,13.42,999,13,13.43,1.39,1,7.99
2025-05-01,2025-05-01,Artisan Watch - BOF - Retargeting,Website Visitors - Artisan Watch,DPA - Artisan Watch,13.46,1199,26,11.23,2.17,1,131.99
2025-05-01,2025-05-01,Artisan Watch - TOF - Interests,Broad Interests - Artisan Watch,Creative A - Artisan Watch,31.44,1422,13,22.11,0.97,1,87.99
2025-05-01,2025-05-01,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,7.16,294,2,24.34,0.9,0,0.0
2025-05-01,2025-05-01,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,13.02,651,5,20.0,0.89,0,0.0
2025-05-01,2025-05-01,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,4.99,204,2,24.48,1.42,0,0.0
2025-05-01,2025-05-01,Clearance Jacket - BOF - Retargeting,Website Visitors - Clearance Jacket,DPA - Clearance Jacke,12.19,1174,26,10.38,2.3,1,17.99
2025-05-01,2025-05-01,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,28.47,2252,26,12.64,1.17,1,12.0
2025-05-01,2025-05-01,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,10.99,865,7,12.71,0.92,0,0.0
2025-05-01,2025-05-01,Designer Sunglasses - TOF - Interests,Broad Interests - Designer Sunglasses,Creative A - Designer Sungla,8.37,454,4,18.44,0.92,0,0.0
2025-05-01,2025-05-01,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,13.15,1050,15,12.52,1.45,0,0.0
2025-05-01,2025-05-01,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,11.11,500,4,22.22,0.86,0,0.0
2025-05-01,2025-05-01,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,12.46,704,9,17.7,1.41,0,0.0
2025-05-02,2025-05-02,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,5.61,260,2,21.56,0.9,0,0.0
2025-05-03,2025-05-03,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,6.27,350,3,17.91,1.09,0,0.0
2025-05-03,2025-05-03,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,26.72,1218,14,21.94,1.16,0,0.0
2025-05-03,2025-05-03,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,14.31,721,8,19.85,1.23,0,0.0
2025-05-03,2025-05-03,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,17.77,857,11,20.74,1.34,0,0.0
2025-05-03,2025-05-03,Luxury Silk Scarf - TOF - Interests,Broad Interests - Luxury Silk Scarf,Creative A - Luxury Silk Sca,4.47,203,1,22.02,0.83,0,0.0
2025-05-03,2025-05-03,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,18.53,769,11,24.09,1.44,0,0.0
2025-05-03,2025-05-03,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,9.19,371,3,24.77,0.98,0,0.0
2025-05-03,2025-05-03,Premium Backpack - BOF - Retargeting,Website Visitors - Premium Backpack,DPA - Premium Backpac,11.89,1178,39,10.09,3.37,1,107.99
2025-05-03,2025-05-03,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,27.75,1181,10,23.5,0.92,1,71.99
2025-05-03,2025-05-03,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,4.6,345,3,13.32,1.08,0,0.0
2025-05-03,2025-05-03,Sample Sale Coat - BOF - Retargeting,Website Visitors - Sample Sale Coat,DPA - Sample Sale Coa,51.87,4763,144,10.89,3.04,1,59.99
2025-05-03,2025-05-03,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,121.0,5798,78,20.87,1.35,1,39.99
2025-05-03,2025-05-03,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,25.07,1256,12,19.96,0.96,0,0.0
2025-05-04,2025-05-04,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,7.21,352,3,20.47,1.1,0,0.0
2025-05-04,2025-05-04,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,9.09,452,5,20.1,1.16,0,0.0
2025-05-04,2025-05-04,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,4.63,297,2,15.6,0.8,0,0.0
2025-05-04,2025-05-04,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,23.22,1824,20,12.73,1.15,0,0.0
2025-05-04,2025-05-04,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,24.95,1722,14,14.49,0.87,0,0.0
2025-05-04,2025-05-04,Luxury Silk Scarf - TOF - Interests,Broad Interests - Luxury Silk Scarf,Creative A - Luxury Silk Sca,9.3,463,5,20.08,1.12,0,0.0
2025-05-04,2025-05-04,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,7.8,318,4,24.52,1.44,0,0.0
2025-05-04,2025-05-04,Polo Shirt - BOF - Retargeting,Website Visitors - Polo Shirt,DPA - Polo Shirt,5.02,338,12,14.85,3.8,1,29.99
2025-05-04,2025-05-04,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,11.71,579,5,20.23,1.03,1,20.0
2025-05-04,2025-05-04,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,11.12,460,5,24.17,1.09,0,0.0
